Show,EpId,lectura,lectura_n,score,margen,rank_asignado,coincide_argmax,n_palabras_asr,duracion,fecha
PVM,2020-05-29_07_53_30,Lectura 21,21,0.927,0.6655,1,True,264,150.2,2020-05-29
PVM,2020-05-29_08_01_59,Lectura 30,30,0.8799,0.7303,1,True,253,140.9,2020-05-29
PVM,2020-05-29_08_46_29,Lectura 22,22,0.9366,0.7758,1,True,306,152.1,2020-05-29
PVM,2020-05-29_09_22_38,Lectura 23,23,0.9347,0.787,1,True,268,160.5,2020-05-29
PVM,2020-05-29_10_13_11,Lectura 24,24,0.8944,0.7894,1,True,281,156.9,2020-05-29
PVM,2020-05-29_12_31_55,Lectura 25,25,0.9459,0.6041,1,True,362,223.2,2020-05-29
PVM,2020-05-30_01_03_06,Lectura 36,36,0.9145,0.7879,1,True,366,209.6,2020-05-30
PVM,2020-05-30_03_00_36,Lectura 37,37,0.9152,0.6896,1,True,339,200.7,2020-05-30
PVM,2020-05-30_03_05_47,Lectura 38,38,0.9504,0.7647,1,True,345,187.4,2020-05-30
PVM,2020-05-30_04_26_31,Lectura 39,39,0.9491,0.7847,1,True,308,179.0,2020-05-30
PVM,2020-05-30_07_07_20,Lectura 40,40,0.8818,0.2567,1,True,350,203.8,2020-05-30
PVM,2020-05-30_07_44_45,Lectura 31,31,0.8766,0.7398,1,True,297,207.4,2020-05-30
PVM,2020-05-30_09_14_00,Lectura 32,32,0.9411,0.8201,1,True,294,222.3,2020-05-30
PVM,2020-05-30_10_10_45,Lectura 33,33,0.8139,0.5028,1,True,227,139.3,2020-05-30
PVM,2020-05-30_12_03_37,Lectura 34,34,0.9228,0.7323,1,True,306,228.3,2020-05-30
PVM,2020-05-30_12_20_29,Lectura 35,35,0.8891,0.6884,1,True,374,226.6,2020-05-30
PVM,2020-06-01_06_18_33,Lectura 48,48,0.94,0.649,1,True,303,141.9,2020-06-01
PVM,2020-06-01_06_21_23,Lectura 49,49,0.8083,0.6704,1,True,253,143.3,2020-06-01
PVM,2020-06-01_07_37_27,Lectura 41,41,0.9352,0.7744,1,True,340,200.0,2020-06-01
PVM,2020-06-01_08_02_53,Lectura 50,50,0.9455,0.3148,1,True,271,158.6,2020-06-01
PVM,2020-06-01_08_41_10,Lectura 42,42,0.8622,0.6701,1,True,300,167.9,2020-06-01
PVM,2020-06-01_09_07_55,Lectura 43,43,0.8921,0.7191,1,True,308,155.1,2020-06-01
PVM,2020-06-01_09_33_46,Lectura 44,44,0.8314,0.5603,1,True,263,159.6,2020-06-01
PVM,2020-06-01_09_39_53,Lectura 45,45,0.9192,0.7241,1,True,279,146.7,2020-06-01
PVM,2020-06-01_12_36_33,Lectura 46,46,0.8353,0.664,1,True,244,144.8,2020-06-01
PVM,2020-06-01_12_46_58,Lectura 47,47,0.8813,0.4042,1,True,323,183.0,2020-06-01
PVM,2020-06-02_05_06_06,Lectura 57,57,0.9516,0.7482,1,True,321,218.6,2020-06-02
PVM,2020-06-02_05_25_20,Lectura 58,58,0.9276,0.7342,1,True,287,192.4,2020-06-02
PVM,2020-06-02_07_49_10,Lectura 59,59,0.9653,0.7696,1,True,327,187.0,2020-06-02
PVM,2020-06-02_07_51_47,Lectura 60,60,0.8755,0.6942,1,True,257,150.3,2020-06-02
PVM,2020-06-02_08_21_40,Lectura 51,51,0.9144,0.7727,1,True,331,189.3,2020-06-02
